NAME,CURRENT PLAYERS,24H PEAK PLAYERS,PEAK PLAYERS
Steam,"7,072,234","10,113,557","13,480,916"
Dota 2,"654,217","827,589","1,262,612"
Counter-Strike: Global Offensive,"301,048","646,929","825,880"
Team Fortress 2,"46,185","62,480","104,323"
Grand Theft Auto V,"45,558","62,639","364,548"
ARK: Survival Evolved,"23,621","44,531","84,961"
Football Manager 2015,"20,729","38,164","81,933"
Warframe,"20,473","25,785","50,298"
Clicker Heroes,"20,442","28,883","65,882"
Sid Meier's Civilization V,"20,294","35,192","80,658"
The Binding of Isaac: Rebirth,"17,896","35,535","70,232"
PAYDAY 2,"17,745","28,572","81,224"
War Thunder,"15,908","16,054","29,526"
Garry's Mod,"15,794","28,532","73,863"
The Elder Scrolls V: Skyrim,"15,675","28,192","90,870"
Unturned,"14,795","19,406","63,462"
Counter-Strike,"12,886","24,046","44,586"
Arma 3,"10,522","25,628","48,701"
Terraria,"9,762","14,915","159,175"
H1Z1,"9,553","18,022","40,335"
Football Manager 2016,"9,473","19,139","19,496"
Left 4 Dead 2,"9,301","14,348","162,163"
Rocket League,"8,076","25,519","36,054"
Rust,"7,351","13,030","59,079"
Trove,"7,081","11,825","58,949"
Counter-Strike: Source,"7,030","12,897","35,767"
Euro Truck Simulator 2,"6,644","14,843","22,338"
AdVenture Capitalist,"6,236","9,790","22,998"
METAL GEAR SOLID V: THE PHANTOM PAIN,"5,579","9,080","91,195"
The Witcher 3: Wild Hunt,"5,563","10,254","92,267"
Total War: ROME II - Emperor Edition,"5,318","10,000","38,684"
SMITE,"5,215","12,238","20,236"
Fallout: New Vegas,"4,992","11,029","30,309"
Europa Universalis IV,"4,685","10,251","24,433"
Path of Exile,"4,137","8,247","32,298"
Football Manager 2014,"4,123","7,720","70,870"
Arma 2: Operation Arrowhead,"3,895","7,481","19,175"
Cities: Skylines,"3,816","7,428","60,386"
DayZ,"3,786","7,692","45,528"
Warhammer: End Times - Vermintide,"3,747","9,933","24,700"
Mount & Blade: Warband,"3,683","8,522","32,828"
Borderlands 2,"3,560","7,716","67,769"
Company of Heroes 2,"3,469","6,744","16,645"
NBA 2K16,"3,383","4,749","7,406"
Dungeon Defenders II,"3,265","6,641","18,785"
7 Days to Die,"3,253","4,452","14,859"
Spacewar,"3,231","5,814","8,715"
Heroes & Generals,"3,167","5,489","13,410"
Anno 2205,"2,761","6,498","7,446"
Elite: Dangerous,"2,743","5,201","13,171"
Counter-Strike Nexon: Zombies,"2,739","5,083","10,007"
Crusaders of the Lost Idols,"2,699","3,967","4,068"
Call of Duty: Black Ops II - Multiplayer,"2,606","6,532","12,175"
Farming Simulator 15,"2,570","5,782","18,708"
Banished,"2,468","3,760","9,397"
FINAL FANTASY XIV: A Realm Reborn,"2,456","5,485","11,946"
Time Clickers,"2,453","3,291","7,003"
Dirty Bomb,"2,415","5,054","13,113"
Total War: ATTILA,"2,408","4,384","26,346"
Crusader Kings II,"2,325","5,022","11,949"
TERA,"2,286","4,883","25,260"
Age of Empires II: HD Edition,"2,203","4,542","14,192"
XCOM: Enemy Unknown,"2,171","4,125","21,015"
Sid Meier's Civilization: Beyond Earth,"2,134","3,881","86,892"
Warface,"2,107","4,248","13,815"
Divinity: Original Sin Enhanced Edition,"2,102","4,989","7,565"
Call of Duty: Modern Warfare 3 - Multiplayer,"2,088","4,651","8,864"
Pro Evolution Soccer 2016,"2,049","3,411","3,933"
Empire: Total War,"2,037","4,154","8,921"
Batman™: Arkham Knight,"1,943","3,529","27,406"
Dying Light,"1,906","3,908","45,871"
Middle-earth: Shadow of Mordor,"1,841","3,782","48,640"
Neverwinter,"1,819","2,991","9,613"
Don't Starve Together Beta,"1,796","2,514","19,731"
Kerbal Space Program,"1,755","3,766","19,149"
Total War: SHOGUN 2,"1,749","3,137","9,546"
Prison Architect,"1,712","3,518","16,185"
Insurgency,"1,672","3,829","10,637"
ArcheAge,"1,630","2,807","6,509"
DARK SOULS™ II: Scholar of the First Sin,"1,620","2,993","12,106"
Space Engineers,"1,596","3,667","23,888"
Hitman: Absolution,"1,553","2,961","4,642"
The Binding of Isaac,"1,474","2,891","8,117"
Magic Duels,"1,421","2,297","14,586"
Dark Souls: Prepare to Die Edition,"1,421","2,748","10,173"
Undertale,"1,419","6,159","6,630"
PlanetSide 2,"1,382","3,079","8,335"
Robocraft,"1,375","6,705","26,725"
Football Manager 2013,"1,361","2,721","11,595"
Nobunaga's Ambition: Souzou with Power Up Kit,"1,324","1,846","6,851"
Mad Max,"1,323","2,548","33,356"
Call of Duty: Modern Warfare 2 - Multiplayer,"1,323","3,227","6,475"
Starbound,"1,321","2,187","88,481"
Fallout 3 - Game of the Year Edition,"1,307","2,797","10,401"
The Elder Scrolls Online: Tamriel Unlimited,"1,290","2,138","5,961"
Stronghold Kingdoms,"1,267","2,036","3,904"
Tales of Zestiria,"1,234","2,505","9,696"
Tom Clancy's Ghost Recon Phantoms - EU,"1,230","2,740","19,158"
Fishing Planet,"1,227","2,024","6,673"
Killing Floor 2,"1,226","2,367","24,250"
Marvel Heroes 2015,"1,212","2,190","8,759"
