"1,262,612"
"825,880"
"104,323"
"364,548"
"84,961"
"81,933"
"50,298"
"65,882"
"80,658"
"70,232"
"81,224"
"29,526"
"73,863"
"90,870"
"63,462"
"44,586"
"48,701"
"159,175"
"40,335"
"19,496"
"162,163"
"36,054"
"59,079"
"58,949"
"35,767"
"22,338"
"22,998"
"91,195"
"92,267"
"38,684"
"20,236"
"30,309"
"24,433"
"32,298"
"70,870"
"19,175"
"60,386"
"45,528"
"24,700"
"32,828"
"67,769"
"16,645"
"7,406"
"18,785"
"14,859"
"8,715"
"13,410"
"7,446"
"13,171"
"10,007"
"4,068"
"12,175"
"18,708"
"9,397"
"11,946"
"7,003"
"13,113"
"26,346"
"11,949"
"25,260"
"14,192"
"21,015"
"86,892"
"13,815"
"7,565"
"8,864"
"3,933"
"8,921"
"27,406"
"45,871"
"48,640"
"9,613"
"19,731"
"19,149"
"9,546"
"16,185"
"10,637"
"6,509"
"12,106"
"23,888"
"4,642"
"8,117"
"14,586"
"10,173"
"6,630"
"8,335"
"26,725"
"11,595"
"6,851"
"33,356"
"6,475"
"88,481"
"10,401"
"5,961"
"3,904"
"9,696"
"19,158"
"6,673"
"24,250"
"8,759"
